id_municipio;nombre_municipio;id_departamento
959;El Carmen de Chucurí;4
960;El Carmen de Viboral;1
961;Belén de Umbría;23
962;Belén de Bajira;12
963;Valle de San José;4
964;San Luis;6
965;San Miguel de Sema;2
966;San Antonio;6
967;San Benito;4
968;Vergara;3
969;San Carlos;13
970;Puerto Alegría;26
971;Hato;4
972;San Jacinto;7
973;San Sebastián;9
974;San Carlos;1
975;Tuta;2
976;Silos;10
977;Cácota;10
978;El Dovio;8
979;Toledo;10
980;Roldanillo;8
981;Mutiscua;10
982;Argelia;8
983;El Zulia;10
984;Salazar;10
985;Sevilla;8
986;Zarzal;8
987;Cucutilla;10
988;El Cerrito;8
989;Cartago;8
990;Caicedonia;8
991;Puerto Santander;10
992;Gramalote;10
993;El Cairo;8
994;El Tarra;10
995;La Unión;8
996;Restrepo;8
997;Teorama;10
998;Dagua;8
999;Arboledas;10
1000;Guacarí;8
1001;Lourdes;10
1002;Ansermanuevo;8
1003;Bochalema;10
1004;Bugalagrande;8
1005;Convención;10
1006;Hacarí;10
1007;La Victoria;8
1008;Herrán;10
1009;Ginebra;8
1010;Yumbo;8
1011;Obando;8
1012;Tibú;10
1013;San Cayetano;10
1014;San Calixto;10
1015;Bolívar;8
1016;La Playa;10
1017;Cali;8
1018;San Pedro;8
1019;Guadalajara de Buga;8
1020;Chinácota;10
1021;Ragonvalia;10
1022;La Esperanza;10
1023;Villa del Rosario;10
1024;Chitagá;10
1025;Calima;8
1026;Sardinata;10
1027;Andalucía;8
1028;Pradera;8
1029;Abrego;10
1030;Los Patios;10
1031;Ocaña;10
1032;Bucarasica;10
1033;Yotoco;8
1034;Palmira;8
1035;Riofrío;8
1036;Santiago;10
1037;Alcalá;8
1038;Versalles;8
1039;Labateca;10
1040;Cachirá;10
1041;Villa Caro;10
1042;Durania;10
1043;El Águila;8
1044;Toro;8
1045;Candelaria;8
1046;La Cumbre;8
1047;Ulloa;8
1048;Trujillo;8
1049;Vijes;8
1050;Chimá;4
1051;Sampués;17
1052;Nunchía;20
1053;Pamplona;10
1054;Albán;3
1055;Montelíbano;13
1056;Puerto Asís;24
1057;Corozal;17
1058;Buesaco;5
1059;Maní;20
1060;El Peñón;7
1061;Tuluá;8
1062;Casabianca;6
1063;Anolaima;3
1064;Chía;3
1065;San Andrés de Tumaco;5
1066;Milán;21
1067;Capitanejo;4
1068;Anzoátegui;6
1069;Florida;8
1070;Repelón;19
1071;Frontino;1
1072;El Peñón;3
1073;Pamplonita;10
1074;Miriti Paraná;26
1075;Támara;20
1076;Tibasosa;2
1077;Páez;9
1078;Ibagué;6
1079;Puerto Colombia;19
1080;Belén;5
1081;Sopó;3
1082;Carmen del Darien;12
1083;Gama;3
1084;Sasaima;3
1085;Chachagüí;5
1086;Cúcuta;10
1087;Cartagena;7
1088;Granada;1
1089;Santa Bárbara de Pinto;14
1090;María la Baja;7
1091;La Montañita;21
1092;San Vicente del Caguán;21
1093;El Peñón;4
1094;Jardín;1
1095;Jamundí;8
1096;Tadó;12
1097;Orocué;20
1098;Líbano;6
1099;Yacopí;3
1100;Calarcá;25
1101;Sonsón;1
1102;El Carmen;10
1103;Lérida;6
1104;La Apartada;13
1105;San Cristóbal;7
1106;Fusagasugá;3
1107;Zambrano;7
1108;La Uvita;2
1109;Zipaquirá;3
1110;Génova;25
1111;Suárez;6
1112;Castilla la Nueva;15
1113;Belén;2
1114;Unión Panamericana;12
1115;Pueblo Viejo;14
1116;Villagarzón;24
1117;Facatativá;3
1118;Puerto Libertador;13
1119;Marquetalia;16
1120;Arboleda;5
1121;Buenaventura;8
1122;Ciénaga;14
1123;Ponedera;19
